url,slug,season,pattern,status
https://www.topyacht.net.au/results/2022-2023/cyca/index.htm,cyca,2022-2023,season/slug,404
https://www.topyacht.net.au/results/cyca/2022-2023/club/index.htm,cyca,2022-2023,slug/season/club,404
https://www.topyacht.net.au/results/2023/cyca/index.htm,cyca,2023,season/slug,404
https://www.topyacht.net.au/results/cyca/2023/club/index.htm,cyca,2023,slug/season/club,404
https://www.topyacht.net.au/results/2023-24/cyca/index.htm,cyca,2023-24,season/slug,404
https://www.topyacht.net.au/results/cyca/2023-24/club/index.htm,cyca,2023-24,slug/season/club,404
https://www.topyacht.net.au/results/2023-2024/cyca/index.htm,cyca,2023-2024,season/slug,404
https://www.topyacht.net.au/results/cyca/2023-2024/club/index.htm,cyca,2023-2024,slug/season/club,404
https://www.topyacht.net.au/results/2024/cyca/index.htm,cyca,2024,season/slug,404
https://www.topyacht.net.au/results/cyca/2024/club/index.htm,cyca,2024,slug/season/club,404
https://www.topyacht.net.au/results/2024-25/cyca/index.htm,cyca,2024-25,season/slug,404
https://www.topyacht.net.au/results/cyca/2024-25/club/index.htm,cyca,2024-25,slug/season/club,404
https://www.topyacht.net.au/results/2024-2025/cyca/index.htm,cyca,2024-2025,season/slug,404
https://www.topyacht.net.au/results/cyca/2024-2025/club/index.htm,cyca,2024-2025,slug/season/club,404
https://www.topyacht.net.au/results/2025/cyca/index.htm,cyca,2025,season/slug,404
https://www.topyacht.net.au/results/cyca/2025/club/index.htm,cyca,2025,slug/season/club,404
https://www.topyacht.net.au/results/2025-26/cyca/index.htm,cyca,2025-26,season/slug,404
https://www.topyacht.net.au/results/cyca/2025-26/club/index.htm,cyca,2025-26,slug/season/club,404
https://www.topyacht.net.au/results/2025-2026/cyca/index.htm,cyca,2025-2026,season/slug,404
https://www.topyacht.net.au/results/cyca/2025-2026/club/index.htm,cyca,2025-2026,slug/season/club,404
https://www.topyacht.net.au/results/2019/cycsa/index.htm,cycsa,2019,season/slug,404
https://www.topyacht.net.au/results/cycsa/2019/club/index.htm,cycsa,2019,slug/season/club,200
https://www.topyacht.net.au/results/2019-20/cycsa/index.htm,cycsa,2019-20,season/slug,404
